Weatherpy_database,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Current Description
176,Quelimane,MZ,-17.8786,36.8883,64.35,94,0,clear sky
177,Ibra,OM,22.6906,58.5334,84.11,52,15,few clouds
178,Clarence Town,AU,-32.5833,151.7833,61.34,49,0,clear sky
179,Jumla,NP,29.2747,82.1838,56.82,90,99,overcast clouds
180,Polovinnoye,RU,54.7914,65.9864,67.86,57,81,broken clouds
181,Bairiki,KI,1.3292,172.9752,87.8,66,20,few clouds
182,Udachnyy,RU,66.4167,112.4,53.01,79,100,overcast clouds
183,Zhengjiatun,CN,43.5064,123.5064,69.33,82,99,overcast clouds
184,Tuktoyaktuk,CA,69.4541,-133.0374,57.2,58,75,broken clouds
185,Ribeira Grande,PT,38.5167,-28.7,72.73,83,92,overcast clouds
186,Bandarbeyla,SO,9.4942,50.8122,77.92,74,83,broken clouds
187,Punta Arenas,CL,-53.15,-70.9167,41.11,93,75,broken clouds
188,Lure,FR,47.75,6.5,70.48,100,0,clear sky
189,Biu,NG,10.6129,12.1946,69.46,94,100,moderate rain
190,Alvinopolis,BR,-20.1067,-43.0489,67.93,67,83,broken clouds
191,Gunnedah,AU,-30.9833,150.25,55.02,63,1,clear sky
192,Atambua,ID,-9.1061,124.8925,73.9,76,18,few clouds
193,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,93,39,scattered clouds
194,Paamiut,GL,61.994,-49.6678,46.71,99,100,moderate rain
195,Ixtapa,MX,20.7,-105.2,88.23,75,77,broken clouds
196,Iqaluit,CA,63.7506,-68.5145,46.13,87,90,overcast clouds
197,Derzhavinsk,KZ,51.1,66.3167,67.71,34,11,few clouds
198,Surt,LY,31.2089,16.5887,81.03,67,0,clear sky
199,Asfi,MA,32.2994,-9.2372,76.28,67,24,few clouds
200,Wagar,SD,16.1525,36.2032,85.24,57,23,few clouds
201,Van,TR,38.4924,43.3831,68.52,43,5,clear sky
202,Port Lincoln,AU,-34.7333,135.8667,55.24,71,100,overcast clouds
203,Muros,ES,42.7762,-9.0603,64.99,80,0,clear sky
204,Talnakh,RU,69.4865,88.3972,55.33,96,99,light rain
205,Oyama,JP,36.3,139.8,69.62,91,100,overcast clouds
206,Kribi,CM,2.95,9.9167,77.25,85,75,broken clouds
207,Abu Samrah,SY,35.3029,37.1841,75.96,47,0,clear sky
208,Urumqi,CN,43.801,87.6005,63.55,77,40,scattered clouds
209,Asau,RO,46.4333,26.4,67.95,80,7,clear sky
210,Yulara,AU,-25.2406,130.9889,46.24,49,4,clear sky
211,Les Cayes,HT,18.2,-73.75,83.57,74,43,scattered clouds
212,Dori,BF,14.0354,-0.0345,83.05,60,34,scattered clouds
213,Tabuk,PH,17.4189,121.4443,75.69,85,91,overcast clouds
214,Okhotsk,RU,59.3833,143.3,62.24,88,87,overcast clouds
215,Bintulu,MY,3.1667,113.0333,75.61,94,40,moderate rain
216,Broome,US,42.2506,-75.833,73.78,67,1,clear sky
217,Qaanaaq,GL,77.484,-69.3632,38.17,99,100,light rain
218,Mar Del Plata,AR,-38.0023,-57.5575,48.22,100,90,fog
219,Lorengau,PG,-2.0226,147.2712,82.35,79,84,broken clouds
220,Khasan,RU,42.4308,130.6434,66.11,83,99,overcast clouds
221,Marawi,PH,7.9986,124.2928,65.64,90,100,overcast clouds
222,Saint George,US,37.1041,-113.5841,106.63,20,1,clear sky
223,Nevelsk,RU,46.6733,141.8633,55.83,71,84,broken clouds
224,Pedernales,DO,18.0384,-71.744,82.62,78,63,broken clouds
225,Kavieng,PG,-2.5744,150.7967,83.66,74,97,light rain
226,Cabedelo,BR,-6.9811,-34.8339,75.87,78,62,broken clouds
227,Kezmarok,SK,49.1357,20.4335,70.27,93,20,few clouds
228,Karatau,KZ,43.1667,70.4667,58.15,60,0,clear sky
229,Xucheng,CN,20.35,110.1288,77.7,88,100,overcast clouds
230,Alihe,CN,50.5667,123.7167,64.69,74,14,few clouds
231,La Palma,US,33.8464,-118.0467,109.04,53,1,clear sky
232,Hambantota,LK,6.1241,81.1185,78.73,79,100,overcast clouds
233,Mogwase,ZA,-25.185,27.2665,54.5,66,1,clear sky
234,Zamosc,PL,50.7231,23.252,62.44,81,84,broken clouds
235,Te Anau,NZ,-45.4167,167.7167,43.77,94,88,heavy intensity rain
236,Berlevag,NO,70.8578,29.0864,45.21,79,96,overcast clouds
