City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
135,Maniitsoq,GL,2021-08-15 22:22:03,65.4167,-52.9,45.72,96,100,4.52
136,Qaanaaq,GL,2021-08-15 22:22:04,77.484,-69.3632,38.34,99,100,5.55
137,Mandalgovi,MN,2021-08-15 22:22:04,45.7625,106.2708,62.42,59,54,8.08
138,Lebu,CL,2021-08-15 22:22:04,-37.6167,-73.65,49.91,91,100,25.46
139,Asau,RO,2021-08-15 22:22:05,46.4333,26.4,67.95,81,9,4.23
140,Nsanje,MW,2021-08-15 22:22:05,-16.92,35.262,66.7,81,87,4.45
141,Thompson,CA,2021-08-15 22:22:05,55.7435,-97.8558,77.16,38,40,18.41
142,Saint-Philippe,RE,2021-08-15 22:22:05,-21.3585,55.7679,62.19,79,81,12.8
143,Ketchikan,US,2021-08-15 22:18:19,55.3422,-131.6461,63.07,59,90,11.5
144,Znamenskoye,RU,2021-08-15 22:22:06,57.1281,73.8282,60.1,81,100,4.05
145,Longonjo,AO,2021-08-15 22:22:06,-12.9067,15.2533,65.44,28,15,2.04
146,Fabiansebestyen,HU,2021-08-15 22:22:07,46.6833,20.4667,82.76,46,94,7.14
147,Arlit,NE,2021-08-15 22:22:07,18.7369,7.3853,95.83,22,93,4.79
148,Brasilia,BR,2021-08-15 22:22:07,-15.7797,-47.9297,77.92,29,0,8.05
149,Leshukonskoye,RU,2021-08-15 22:22:08,64.8989,45.7622,56.91,91,97,9.98
150,Camabatela,AO,2021-08-15 22:22:08,-8.1881,15.375,65.07,84,64,5.08
151,Linxia,CN,2021-08-15 22:22:08,35.6003,103.2064,57.6,89,48,2.64
152,Tasiilaq,GL,2021-08-15 22:22:09,65.6145,-37.6368,51.96,68,88,4.27
153,Misratah,LY,2021-08-15 22:22:09,32.3754,15.0925,82.2,65,0,7.38
154,Jhang,PK,2021-08-15 22:21:22,33.6748,72.6963,75.61,72,1,4.21
155,Pangody,RU,2021-08-15 22:22:10,65.85,74.4859,49.78,88,47,13.04
156,Zhanaozen,KZ,2021-08-15 22:22:10,43.3,52.8,76.6,19,0,9.75
157,Toribio,CO,2021-08-15 22:22:10,2.9548,-76.2684,72.86,88,97,0.87
158,Hamilton,US,2021-08-15 22:22:11,39.1834,-84.5333,77.74,71,90,1.01
159,Boyuibe,BO,2021-08-15 22:22:11,-20.4167,-63.2833,73.31,34,38,3.49
160,Cervo,ES,2021-08-15 22:22:11,43.6702,-7.4101,63.97,79,37,4.09
161,Tyup,KG,2021-08-15 22:22:12,42.7276,78.3648,46.99,85,89,5.3
162,Arraial Do Cabo,BR,2021-08-15 22:22:12,-22.9661,-42.0278,68.74,79,1,14.99
163,Altay,CN,2021-08-15 22:22:13,47.8667,88.1167,59.41,63,93,3.47
164,Orapa,BW,2021-08-15 22:22:13,-21.2833,25.3667,60.03,57,0,14.52
165,Hilo,US,2021-08-15 22:22:13,19.7297,-155.09,82.13,71,1,6.91
166,Cap Malheureux,MU,2021-08-15 22:22:14,-19.9842,57.6142,68.49,75,75,1.99
167,Palmer,US,2021-08-15 22:22:14,42.1584,-72.3287,81.03,50,40,4.61
168,Erenhot,CN,2021-08-15 22:22:14,43.6475,111.9767,69.28,57,0,8.68
169,Mont-De-Marsan,FR,2021-08-15 22:22:15,44.0,-0.6667,66.02,88,90,5.75
170,Padang,ID,2021-08-15 22:22:15,-0.9492,100.3543,76.95,86,99,3.33
171,Sioux Lookout,CA,2021-08-15 22:22:15,50.1001,-91.917,88.18,45,75,12.66
172,Pangnirtung,CA,2021-08-15 22:22:16,66.1451,-65.7125,47.62,79,82,2.08
173,Ponta Delgada,PT,2021-08-15 22:22:16,37.7333,-25.6667,74.12,88,40,4.61
174,Haines Junction,CA,2021-08-15 22:22:16,60.7522,-137.5108,60.75,48,72,5.75
175,Vallenar,CL,2021-08-15 22:22:17,-28.5708,-70.7581,66.13,39,98,4.41
176,Esperance,AU,2021-08-15 22:22:17,-33.8667,121.9,48.52,88,0,8.57
177,Akdepe,TM,2021-08-15 22:22:17,42.0551,59.3788,66.29,26,0,9.46
178,Fairbanks,US,2021-08-15 22:22:18,64.8378,-147.7164,51.8,92,90,1.01
179,Severo-Kurilsk,RU,2021-08-15 22:22:18,50.6789,156.125,56.73,84,26,13.33
180,Sao Jose Da Coroa Grande,BR,2021-08-15 22:22:18,-8.8978,-35.1478,73.65,74,49,10.33
181,Kachiry,KZ,2021-08-15 22:22:19,53.0675,76.1036,61.43,69,3,3.87
182,Kavieng,PG,2021-08-15 22:22:19,-2.5744,150.7967,82.99,74,96,10.31
183,Pevek,RU,2021-08-15 22:22:19,69.7008,170.3133,32.77,98,100,3.78
184,Rio Gallegos,AR,2021-08-15 22:22:20,-51.6226,-69.2181,44.65,76,0,3.44
185,Cape Girardeau,US,2021-08-15 22:22:20,37.3834,-89.7168,81.99,67,52,9.73
186,Namibe,AO,2021-08-15 22:22:20,-15.1961,12.1522,65.55,92,15,6.98
187,Pergamino,AR,2021-08-15 22:22:21,-33.89,-60.5736,55.18,63,21,6.06
188,Mayo,US,2021-08-15 22:22:21,38.8876,-76.5119,84.11,62,75,3.0
189,Seymchan,RU,2021-08-15 22:22:21,62.8833,152.4333,54.68,65,80,3.78
190,Lubu,CN,2021-08-15 22:22:22,23.1742,112.2809,76.8,97,100,1.39
191,Amga,RU,2021-08-15 22:22:22,60.8953,131.9608,65.89,89,96,1.83
192,Posse,BR,2021-08-15 22:22:22,-14.0931,-46.3694,75.56,27,3,5.46
193,Panaba,MX,2021-08-15 22:22:23,21.2833,-88.2667,81.01,78,98,8.81
194,Fukue,JP,2021-08-15 22:22:23,32.6881,128.8419,73.33,94,100,11.65
195,Bilibino,RU,2021-08-15 22:22:23,68.0546,166.4372,41.13,91,100,2.28
196,Upernavik,GL,2021-08-15 22:22:24,72.7868,-56.1549,42.21,96,100,6.26
197,Buraydah,SA,2021-08-15 22:22:24,26.326,43.975,93.65,18,0,8.32
198,Iqaluit,CA,2021-08-15 22:22:25,63.7506,-68.5145,46.13,87,90,3.44
199,Cherskiy,RU,2021-08-15 22:22:25,68.75,161.3,42.75,91,100,1.23
200,Guiratinga,BR,2021-08-15 22:22:25,-16.3494,-53.7583,81.91,23,5,0.87
201,Makueni,KE,2021-08-15 22:22:26,-1.8041,37.6203,61.0,85,59,6.17
202,Kirkkonummi,FI,2021-08-15 22:22:26,60.1238,24.4385,58.1,93,29,13.02
203,Zelenoborsk,RU,2021-08-15 22:22:26,61.4669,64.0333,57.16,77,5,3.85
204,Clyde River,CA,2021-08-15 22:22:27,70.4692,-68.5914,44.96,78,95,1.63
205,Dingle,PH,2021-08-15 22:22:27,10.9995,122.6711,75.67,88,71,4.61
206,Sobolevo,RU,2021-08-15 22:22:27,54.4299,31.8996,61.86,77,51,5.93
207,Lorengau,PG,2021-08-15 22:22:28,-2.0226,147.2712,81.63,80,85,5.75
208,Dolores,AR,2021-08-15 22:22:28,-36.3132,-57.6792,50.32,90,47,6.46
209,Presidencia Roque Saenz Pena,AR,2021-08-15 22:22:28,-26.7852,-60.4388,66.15,47,1,4.83
210,Jamsa,FI,2021-08-15 22:22:29,61.8642,25.19,55.15,98,84,6.26
211,Texarkana,US,2021-08-15 22:22:07,33.4251,-94.0477,88.02,62,1,5.99
212,Macklin,CA,2021-08-15 22:22:29,52.3334,-109.9348,86.34,20,67,14.43
213,Rudbar,AF,2021-08-15 22:22:30,30.15,62.6,79.25,18,0,9.24
214,Neiafu,TO,2021-08-15 22:22:30,-18.65,-173.9833,75.88,50,20,8.05
215,Banda Aceh,ID,2021-08-15 22:22:30,5.5577,95.3222,78.62,77,100,9.04
216,Atyrau,KZ,2021-08-15 22:22:31,47.1167,51.8833,68.02,30,0,11.18
217,San Quintin,MX,2021-08-15 22:22:31,30.4833,-115.95,75.2,72,17,10.78
218,Olinda,BR,2021-08-15 22:22:31,-8.0089,-34.8553,74.93,64,40,11.5
219,Sao Joao Da Barra,BR,2021-08-15 22:22:32,-21.6403,-41.0511,69.53,77,91,9.04
220,Alpoyeca,MX,2021-08-15 22:22:32,17.6667,-98.5167,86.67,47,13,3.33
221,Tilichiki,RU,2021-08-15 22:22:32,60.4667,166.1,55.67,78,95,6.08
222,San Miguel,SV,2021-08-15 22:22:33,13.4833,-88.1833,89.26,66,20,0.0
223,Barcelos,PT,2021-08-15 22:22:33,41.5388,-8.6151,72.28,76,0,5.46
224,Amapa,BR,2021-08-15 22:22:34,1.0,-52.0,75.0,91,100,1.57
225,Tucuman,AR,2021-08-15 22:22:34,-26.8241,-65.2226,69.8,24,0,6.91
226,Grindavik,IS,2021-08-15 22:22:34,63.8424,-22.4338,51.75,100,90,10.36
227,Tame,CO,2021-08-15 22:22:35,6.461,-71.73,77.09,90,84,1.54
228,Sayyan,YE,2021-08-15 22:22:35,15.1718,44.3244,66.0,52,98,2.06
229,Stornoway,GB,2021-08-15 22:22:35,58.2093,-6.3865,55.92,93,75,3.44
230,Buin,CL,2021-08-15 22:22:36,-33.7333,-70.75,52.12,68,100,2.86
231,Yulara,AU,2021-08-15 22:22:36,-25.2406,130.9889,46.24,49,4,5.75
232,Denpasar,ID,2021-08-15 22:19:36,-8.65,115.2167,76.66,94,20,8.05
233,Avarua,CK,2021-08-15 22:22:37,-21.2078,-159.775,75.25,73,75,11.5
234,Geraldton,AU,2021-08-15 22:22:37,-28.7667,114.6,55.81,47,0,18.41
235,Port Macquarie,AU,2021-08-15 22:22:37,-31.4333,152.9167,53.56,55,14,4.59
236,Rosetta,EG,2021-08-15 22:22:38,31.4044,30.4164,80.42,71,0,11.23
237,Tigil,RU,2021-08-15 22:22:38,57.8,158.6667,59.65,79,93,12.93
238,Sistranda,NO,2021-08-15 22:22:38,63.7256,8.834,54.9,81,100,7.74
239,Coihaique,CL,2021-08-15 22:20:24,-45.5752,-72.0662,45.21,87,90,3.44
240,Almeirim,BR,2021-08-15 22:22:39,-1.5233,-52.5817,79.77,72,52,3.04
241,Adrar,MR,2021-08-15 22:22:39,20.5022,-10.0711,97.23,14,50,16.04
242,Gaimersheim,DE,2021-08-15 22:22:39,48.807,11.368,67.39,92,75,6.49
243,Okhotsk,RU,2021-08-15 22:22:40,59.3833,143.3,60.93,90,84,3.6
244,Kavaratti,IN,2021-08-15 22:22:40,10.5669,72.642,80.71,80,96,17.69
245,Mayor Pablo Lagerenza,PY,2021-08-15 22:22:41,-19.9309,-60.7718,77.76,27,3,4.16
246,Nome,US,2021-08-15 22:22:41,64.5011,-165.4064,50.07,87,90,4.61
247,Nabire,ID,2021-08-15 22:22:41,-3.3667,135.4833,75.43,90,73,2.86
248,Haimen,CN,2021-08-15 22:22:42,23.1935,116.6142,76.89,91,1,4.27
249,Magaria,NE,2021-08-15 22:22:42,12.9983,8.9099,81.12,68,99,6.67
250,Nuevitas,CU,2021-08-15 22:22:42,21.5453,-77.2644,85.44,73,98,9.04
251,Mareeba,AU,2021-08-15 22:22:43,-17.0,145.4333,69.44,83,10,3.49
252,Nong Chik,TH,2021-08-15 22:22:43,6.8436,101.178,77.77,84,100,2.33
253,Chuy,UY,2021-08-15 22:22:44,-33.6971,-53.4616,54.72,96,29,4.32
254,Mopipi,BW,2021-08-15 22:22:44,-21.1833,24.8833,61.56,55,0,13.62
255,Ridgecrest,US,2021-08-15 22:22:44,35.6225,-117.6709,111.06,10,1,5.75
256,Mahebourg,MU,2021-08-15 22:22:45,-20.4081,57.7,68.29,73,40,12.66
257,Bongandanga,CD,2021-08-15 22:22:45,1.5,21.05,71.06,90,26,2.77
258,Puerto Madryn,AR,2021-08-15 22:22:45,-42.7692,-65.0385,61.43,27,97,22.32
259,Serov,RU,2021-08-15 22:22:46,59.6033,60.5787,56.35,76,14,3.2
260,Moose Factory,CA,2021-08-15 22:22:46,51.2585,-80.6094,78.8,50,75,12.66
261,Ilulissat,GL,2021-08-15 22:22:46,69.2167,-51.1,44.62,87,75,6.91
262,Tiksi,RU,2021-08-15 22:22:47,71.6872,128.8694,41.65,87,13,6.04
263,Fort Nelson,CA,2021-08-15 22:22:47,58.8053,-122.7002,62.19,72,75,4.61
264,Praia Da Vitoria,PT,2021-08-15 22:22:47,38.7333,-27.0667,73.76,83,75,5.5
265,Tucupita,VE,2021-08-15 22:22:48,9.0622,-62.051,74.95,96,98,2.77
266,Srandakan,ID,2021-08-15 22:22:48,-7.9386,110.2506,74.26,92,20,7.25
267,Kushmurun,KZ,2021-08-15 22:22:48,52.4503,64.6311,67.6,44,23,0.6
268,Lasa,IT,2021-08-15 22:22:49,46.6166,10.7002,70.68,82,4,3.0
269,Hlinsko,CZ,2021-08-15 22:22:49,49.7621,15.9076,70.39,87,87,5.75
270,Buenos Aires,AR,2021-08-15 22:22:09,-34.6132,-58.3772,53.78,100,90,10.36
271,Melivoia,GR,2021-08-15 22:22:50,39.75,22.8,73.45,47,0,2.51
272,Ponta Do Sol,PT,2021-08-15 22:22:50,32.6667,-17.1,84.83,55,3,5.73
273,Kieta,PG,2021-08-15 22:22:50,-6.2167,155.6333,82.15,75,100,3.13
274,Namatanai,PG,2021-08-15 22:22:51,-3.6667,152.4333,81.34,77,69,5.48
275,Yenagoa,NG,2021-08-15 22:22:51,4.9247,6.2642,75.06,91,89,3.6
276,Necochea,AR,2021-08-15 22:18:08,-38.5473,-58.7368,48.04,62,100,8.72
277,Skjervoy,NO,2021-08-15 22:22:51,70.0311,20.9714,47.82,74,76,10.56
278,Atasu,KZ,2021-08-15 22:22:52,48.6814,71.6433,61.02,52,22,4.74
279,Yanam,IN,2021-08-15 22:22:52,16.7333,82.2167,75.58,96,100,7.83
280,Mirnyy,RU,2021-08-15 22:22:52,62.5353,113.9611,59.45,96,96,5.21
281,Qaqortoq,GL,2021-08-15 22:22:53,60.7167,-46.0333,52.3,97,100,10.31
282,Bayji,IQ,2021-08-15 22:22:53,34.9311,43.487,91.85,22,0,16.24
283,Benguela,AO,2021-08-15 22:22:53,-12.5763,13.4055,70.88,86,20,4.52
284,Xiuyan,CN,2021-08-15 22:22:54,40.2928,123.2744,67.33,96,98,1.54
285,Alexandria,EG,2021-08-15 22:22:54,31.2156,29.9553,80.56,74,0,4.61
286,Bushehr,IR,2021-08-15 22:22:55,28.9684,50.8385,93.92,60,10,6.69
287,Santo Anastacio,BR,2021-08-15 22:22:55,-21.8383,-51.6103,80.96,29,5,0.74
288,Coffs Harbour,AU,2021-08-15 22:19:58,-30.3,153.1333,57.16,82,90,5.75
289,Dosso,NE,2021-08-15 22:22:55,13.049,3.1937,81.25,73,88,9.48
290,Alugan,PH,2021-08-15 22:22:56,12.2188,125.4808,80.31,79,95,2.66
291,Broken Hill,AU,2021-08-15 22:22:56,-31.95,141.4333,45.57,69,0,8.52
292,Tutoia,BR,2021-08-15 22:22:56,-2.7619,-42.2744,79.27,80,10,9.35
293,Harper,LR,2021-08-15 22:22:57,4.375,-7.7169,76.08,72,27,8.95
294,Zhaotong,CN,2021-08-15 22:22:57,27.3167,103.7167,62.22,95,97,2.95
